filename,emotion_izanami,intensity_pred_izanami,emotion_kushinada,intensity_pred_kushinada,valence,arousal,dominance,text,delta_valence,delta_arousal,delta_dominance,delta_int_kushinada
0012_L.wav,ACC,3.89,DIS,5.48,0.36,0.19,0.2,(F うーん),0.3,0.46,0.37,3.14
0015_L.wav,SUR,1.17,SUR,2.85,0.88,0.77,0.74,<笑>,0.55,0.61,0.6,2.85
0020_L.wav,SAD,4.55,SAD,3.52,0.33,0.35,0.38,あれね,0.53,0.41,0.34,1.19
0022_L.wav,SUR,1.47,SUR,3.88,0.85,0.8,0.76,<笑>,0.52,0.45,0.38,0.36
0030_L.wav,ANT,3.32,ANT,2.05,0.42,0.72,0.65,(F えー)でも人間の言葉って不思議ですよね通じてるんだけど後で聞くと,0.13,0.38,0.27,0.23
0034_L.wav,FEA,2.32,JOY,3.91,0.26,0.11,0.18,(F あー)本当本当,0.49,0.61,0.48,0.59
0042_L.wav,SAD,4.73,ACC,4.67,0.35,0.14,0.17,(F うん)(F うん)(F うん),0.1,0.39,0.38,2.19
0047_L.wav,FEA,4.4,SUR,2.53,0.86,0.8,0.74,<笑>,0.5,0.6,0.53,1.87
0054_L.wav,ACC,1.19,SUR,5.58,0.96,0.91,0.85,<笑>,0.56,0.68,0.63,0.72
0058_L.wav,SAD,3.97,SAD,4.27,0.39,0.21,0.28,なるほどねそうですか,0.13,0.41,0.33,0.59
0062_L.wav,ACC,3.74,ACC,1.49,0.28,0.6,0.57,(F その)何か,0.23,0.32,0.2,1.03
0072_L.wav,ACC,4.23,DIS,4.27,0.39,0.11,0.14,(F うーん),0.27,0.42,0.38,1.46
0092_L.wav,JOY,-0.12,ACC,0.65,0.46,0.55,0.55,逆にこう気になっちゃうとか,0.11,0.31,0.25,3.25
0098_L.wav,ANT,0.9,FEA,2.91,0.3,0.01,0.13,と思ったんですけど,0.01,0.56,0.41,0.39
0116_L.wav,SUR,0.4,SUR,3.54,0.94,0.84,0.81,<笑>,0.58,0.58,0.52,0.7
0119_L.wav,JOY,4.3,ANG,2.89,0.76,0.54,0.54,漫才じゃないんだからって感じですね,0.18,0.3,0.27,0.65
0120_L.wav,FEA,4.4,SUR,1.99,0.98,0.87,0.81,<笑>,0.22,0.33,0.27,0.9
0122_L.wav,SAD,3.01,FEA,2.32,0.37,0.18,0.23,(F へー),0.61,0.69,0.58,0.33
0131_L.wav,JOY,1.57,ACC,2.6,0.67,0.58,0.54,お母さん違うよと,0.53,0.34,0.34,1.75
0134_L.wav,FEA,2.14,SUR,2.29,0.98,0.85,0.81,<笑>,0.54,0.32,0.28,0.16
0135_L.wav,SAD,4.86,ACC,1.84,0.35,0.02,0.15,そうなんだ,0.63,0.83,0.66,0.45
0137_L.wav,SUR,1.31,SUR,1.64,0.61,0.64,0.57,(F え),0.26,0.62,0.42,0.2
0169_L.wav,ACC,4.98,DIS,4.5,0.24,-0.01,0.07,(F うーん),0.38,0.43,0.37,3.16
0189_L.wav,ANG,1.65,ACC,1.57,0.31,0.58,0.57,(F いや)でも今何かちらっとそう思いました例えば,0.04,0.51,0.42,0.64
0211_L.wav,SAD,3.23,FEA,3.68,0.52,0.3,0.34,おかしい面白いですね,0.42,0.56,0.45,0.08
0218_L.wav,ANT,0.27,ANT,2.09,0.33,0.47,0.48,お子様は男の子ですか,0.04,0.51,0.39,1.72
0220_L.wav,FEA,3.45,SAD,2.76,0.34,0.17,0.17,(F ふーん),0.01,0.3,0.31,0.67
0223_L.wav,ACC,3.16,ACC,0.32,0.46,0.51,0.45,(F あ),0.12,0.34,0.28,2.44
0230_L.wav,ANT,1.38,SUR,0.77,0.81,0.65,0.6,(F はい)(F はい)(F はい)(F はい),0.46,0.35,0.34,4.46
0234_L.wav,FEA,3.94,FEA,0.31,0.27,0.13,0.2,なるほど,0.42,0.39,0.31,0.92
0243_L.wav,ACC,5.36,ACC,4.68,0.38,0.2,0.23,(F うーん),0.08,0.42,0.44,1.65
0251_L.wav,SAD,3.24,SUR,3.62,0.48,0.41,0.44,(F へー),0.27,0.31,0.25,0.28
0256_L.wav,JOY,1.18,SUR,4.12,0.9,0.8,0.76,<笑>,0.44,0.65,0.51,4.06
0258_L.wav,SAD,2.18,ANG,1.72,0.43,0.43,0.48,そうなんだじゃお弁当毎日作って誰か送っていくんですね,0.47,0.37,0.28,2.4
0262_L.wav,SUR,2.18,ACC,-0.27,0.89,0.83,0.77,(F あ),0.46,0.4,0.29,1.99
0263_L.wav,FEA,0.42,FEA,1.37,0.33,0.2,0.23,送ってたんだ,0.56,0.63,0.54,1.64
0301_L.wav,FEA,3.15,FEA,2.55,0.28,-0.05,0.09,(F うーん)凄い,0.07,0.64,0.51,0.42
0318_L.wav,SAD,3.41,ACC,4.45,0.29,0.15,0.24,感じですよね,0.55,0.49,0.37,3.38
0334_L.wav,SUR,1.6,SUR,4.35,0.93,0.83,0.81,<笑>,0.32,0.56,0.47,2.64
0337_L.wav,SAD,2.87,SAD,1.69,0.29,0.51,0.49,大変だと思います,0.64,0.32,0.32,2.66
0339_L.wav,FEA,4.29,ACC,6.05,0.4,0.08,0.16,そうですよね,0.11,0.43,0.33,4.36
0345_L.wav,SAD,1.61,SAD,4.44,0.29,-0.09,0.09,そうですよね,0.17,0.36,0.24,1.05
0349_L.wav,SAD,1.84,ANG,1.0,0.57,0.62,0.62,ねそれに自分の御両親が近くにいないから,0.28,0.71,0.53,3.44
0357_L.wav,ACC,4.61,ACC,4.52,0.36,0.0,0.09,(F うーん),0.05,0.56,0.46,4.15
0364_L.wav,FEA,3.1,SAD,2.52,0.26,0.03,0.16,(F ん)なるほどね,0.27,0.31,0.23,0.95
0370_L.wav,FEA,2.31,SAD,2.27,0.38,0.21,0.28,大変ですね,0.14,0.38,0.32,1.31
0374_L.wav,ACC,5.91,ACC,5.9,0.85,0.72,0.65,そうですね,0.43,0.37,0.34,3.45
0377_L.wav,ANT,0.78,ANG,0.85,0.18,0.29,0.39,また大変でしょう小学校入ったら入ったでねきっとね,0.67,0.43,0.26,5.05
0381_L.wav,ANT,0.94,ANT,1.19,0.28,0.52,0.5,でも男の子だと,0.07,0.47,0.39,1.32
0385_L.wav,FEA,2.52,SAD,1.48,0.45,0.03,0.13,(F ええ)いいんじゃないですかね,0.25,0.44,0.39,0.1
0387_L.wav,SAD,2.62,ACC,1.63,0.59,0.61,0.6,そうかあたしももう異常に子供欲しくなりましたよ,0.14,0.58,0.47,0.15
0389_L.wav,SAD,3.44,SAD,3.61,0.43,0.18,0.24,(F うーん),0.16,0.43,0.36,1.98
0405_L.wav,DIS,3.23,DIS,0.6,0.43,0.61,0.59,<息>,0.04,0.55,0.42,0.94
0409_L.wav,SAD,5.8,DIS,4.87,0.28,0.17,0.21,(F うーん),0.15,0.44,0.38,4.27
0410_L.wav,ANG,3.03,FEA,1.62,0.68,0.73,0.7,何か今までのこう経緯が全部,0.4,0.56,0.49,3.25
0435_L.wav,FEA,3.2,SUR,3.69,0.75,0.66,0.63,<笑>,0.41,0.6,0.51,1.74
0438_L.wav,SAD,4.61,ACC,4.34,0.38,0.26,0.27,分かり(D ま),0.37,0.4,0.36,0.65
0442_L.wav,SAD,3.36,SAD,2.16,0.61,0.7,0.66,離れていればね,0.33,0.51,0.37,1.05
0447_L.wav,FEA,3.84,SAD,0.71,0.39,0.09,0.22,なるほどね,0.54,0.73,0.55,2.0
0479_L.wav,ANT,2.97,ACC,5.59,0.35,0.11,0.16,(F ええ),0.28,0.3,0.31,4.31
0482_L.wav,SAD,2.3,SUR,-0.37,0.46,0.48,0.52,西に多いんですか,0.11,0.37,0.36,5.96
0485_L.wav,FEA,1.09,SAD,0.24,0.41,0.17,0.23,やっぱ西,0.05,0.31,0.29,0.61
0497_L.wav,FEA,2.72,SAD,3.13,0.32,-0.06,-0.0,(F ふーん),0.07,0.31,0.32,2.78
0500_L.wav,SUR,1.78,SUR,1.98,0.88,0.79,0.72,<笑>,0.56,0.85,0.72,1.15
0504_L.wav,DIS,4.0,DIS,2.11,0.32,0.04,0.16,そうなんだ,0.58,0.67,0.52,0.15
0505_L.wav,SAD,2.21,ACC,1.88,0.32,0.55,0.58,(F あ)そうだあたしの友達の(A アイシーユー;ＩＣＵ)の子も,0.0,0.51,0.42,0.23
